popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
81,8,5,6,9,1,0,5,0,0,5,4,1,4
82,9,7,9,9,1,2,3,0,1,9,6,1,4
83,8,4,4,8,1,3,0,0,1,5,4,1,4
81,5,7,4,10,1,2,2,0,0,6,8,1,4
81,6,7,9,9,2,0,1,0,0,3,4,1,4
82,6,7,7,9,2,1,3,0,1,2,6,1,4
83,7,6,1,9,2,1,0,0,0,5,6,1,4
81,6,6,1,9,2,2,0,0,2,2,8,1,4
91,7,7,0,10,2,2,0,0,0,7,8,1,4
79,9,4,8,9,2,6,0,0,1,4,5,1,4
79,5,7,1,9,2,0,2,0,2,6,3,1,4
86,6,7,9,9,2,2,1,0,2,5,4,1,4
79,5,7,9,9,2,0,0,0,1,2,6,1,4
82,7,7,0,10,2,0,3,0,2,3,5,1,4
93,7,7,9,10,2,2,2,0,1,3,8,1,4
85,6,6,0,9,1,0,0,0,1,3,7,1,4
80,7,5,4,10,1,0,4,0,0,4,5,1,5
82,8,6,1,9,2,0,3,0,0,1,4,1,4
90,6,7,9,9,1,2,0,0,3,9,4,1,4
86,8,5,4,10,1,0,0,0,1,1,4,1,4
88,6,6,6,10,2,1,0,0,1,6,4,1,4
78,7,7,7,9,1,4,0,0,9,8,5,1,4
80,7,8,9,10,1,0,0,0,3,7,6,1,4
79,7,4,0,8,2,2,1,0,0,6,3,1,4
81,6,6,0,9,2,0,4,0,1,2,4,1,4
79,9,4,6,9,2,3,0,0,1,4,5,1,4
87,6,6,0,9,2,1,2,0,0,2,7,1,4
77,6,5,9,9,2,0,2,0,2,2,3,1,4
79,7,6,7,9,1,3,0,0,1,6,3,1,4
92,7,7,0,10,2,2,4,0,1,5,4,1,4
81,9,6,0,9,2,1,2,0,1,4,6,1,4
87,6,8,9,9,1,1,0,0,1,8,5,1,4
84,5,8,2,9,2,0,0,0,2,4,6,1,4
82,6,7,6,9,2,0,0,0,3,2,5,1,4
78,7,7,0,9,2,2,2,0,3,5,4,1,4
78,6,6,9,10,1,2,3,0,0,3,3,1,4
80,6,6,8,9,2,0,0,0,1,1,3,1,4
79,7,4,0,9,1,2,2,0,2,5,6,1,4
81,8,7,8,9,2,0,0,0,0,8,4,1,4
79,6,5,0,9,1,2,2,0,0,2,4,1,4
78,7,6,1,10,2,2,1,0,3,6,6,1,4
80,7,4,9,9,1,0,7,0,1,4,5,1,4
83,5,6,0,9,2,1,4,0,3,3,7,1,4
80,8,3,6,8,2,1,1,0,0,5,4,1,4
88,8,7,9,10,1,0,1,0,0,5,4,1,4
79,4,5,0,9,2,0,4,0,1,5,5,1,4
80,9,8,0,9,2,2,2,0,2,8,5,1,4
79,8,4,9,9,1,3,0,0,2,1,4,1,4
84,5,4,4,9,2,2,4,0,0,6,8,1,4
78,6,7,0,9,2,4,1,0,1,6,7,1,4
80,4,4,0,9,2,0,8,0,1,2,3,1,4
77,8,7,5,9,2,3,0,0,2,7,3,1,4
